trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.02, 'e': 0.09632763823049303}",20,11,16.861381438326262,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.02, 'e': 0.09442022319630235}",20,13,11.992427912036531,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.02, 'e': 0.09255057751034329}",25,20,10.39478016766276,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.02, 'e': 0.09071795328941251}",20,6,21.5761214027685,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.02, 'e': 0.08892161745938634}",20,12,16.11800803350387,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.02, 'e': 0.0871608514619813}",20,8,5.163886593719917,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.02, 'e': 0.08543495096732123}",20,2,26.33769982659807,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.02, 'e': 0.08374322559219596}",20,6,26.225399883540835,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.02, 'e': 0.0820849986238988}",25,11,-15.90125516670968,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.02, 'e': 0.08045960674953244}",20,13,3.136325404234087,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.02, 'e': 0.07886639979067495}",25,16,20.303289085841733,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.02, 'e': 0.07730474044329974}",25,13,25.37736243550992,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.02, 'e': 0.07577400402284548}",20,2,26.725223977552755,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.02, 'e': 0.07427357821433388}",25,16,17.76530797490725,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.02, 'e': 0.07280286282743559}",20,5,-24.492066813647963,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.02, 'e': 0.07136126955638605}",25,7,20.882521932509846,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.02, 'e': 0.06994822174465536}",20,10,8.526411334228841,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.02, 'e': 0.06856315415427791}",20,8,8.88957642770141,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.02, 'e': 0.06720551273974976}",25,11,22.28847852447489,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.02, 'e': 0.06587475442640295}",25,19,10.040549306824412,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.02, 'e': 0.06457034689316847}",20,13,14.609754035036968,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.02, 'e': 0.0632917683596407}",30,12,12.413954800739166,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.02, 'e': 0.06203850737735829}",20,11,14.863046125671064,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.02, 'e': 0.06081006262521795}",20,8,23.32938283506637,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.02, 'e': 0.05960594270893937}",20,14,10.652228464743935,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
